Scenario,Model,Seed,TotalReward,TotalDelays,TotalCancelledFlights,ScenarioTime,ScenarioSteps,ScenarioResolvedConflicts,SolutionSlack,TailSwaps,ActualDisruptedFlights,Reward_delay_penalty_total,Reward_cancel_penalty,Reward_inaction_penalty,Reward_proactive_bonus,Reward_time_penalty,Reward_final_conflict_resolution_reward,ScenarioSlack,TotalFlights,TotalFlightMinutes,FullyDisruptedCount,UncertainCount,AvgAircraftProbability,AvgUncertaintyProbability,TotalAircraft,ScenarioCategory
deterministic_Scenario_00001,DQN Proactive-N,1,25869.2,83.0,0,13.187721729278564,1,1,0.624163715072806,0,1,-4150.0,0,0.0,25.15,-6.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,2,25869.2,83.0,0,0.1099669933319091,1,1,0.624163715072806,0,1,-4150.0,0,0.0,25.15,-6.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,3,25869.2,83.0,0,0.1210007667541503,1,1,0.624163715072806,0,1,-4150.0,0,0.0,25.15,-6.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,4,25869.2,83.0,0,0.1087763309478759,1,1,0.624163715072806,0,1,-4150.0,0,0.0,25.15,-6.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,5,25869.2,83.0,0,0.1139914989471435,1,1,0.624163715072806,0,1,-4150.0,0,0.0,25.15,-6.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,1,-5270.0,0.0,1,0.1705362796783447,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,2,-5270.0,0.0,1,0.1292934417724609,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,3,-5270.0,0.0,1,0.1654529571533203,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,4,-5270.0,0.0,1,0.1624400615692138,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,5,-5270.0,0.0,1,0.1551399230957031,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,1,-5271.6,0.0,1,0.1576521396636963,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,2,-5271.6,0.0,1,0.1401178836822509,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,3,-5271.6,0.0,1,0.1350734233856201,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,4,-5271.6,0.0,1,0.1583626270294189,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,5,-5271.6,0.0,1,0.1456365585327148,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,1,-5270.0,0.0,1,0.1317152976989746,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,2,-5270.0,0.0,1,0.1458561420440673,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,3,-5270.0,0.0,1,0.1558287143707275,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,4,-5270.0,0.0,1,0.1553633213043213,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-N,5,-5270.0,0.0,1,0.1498956680297851,9,0,0.5324675324675324,0,1,0.0,-5000,0.0,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,1,-10263.899999999998,0.0,2,0.2955293655395508,9,0,0.4758935993349958,0,1,0.0,-10000,-1.4,7.5,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,2,-10263.899999999998,0.0,2,0.1589438915252685,9,0,0.4758935993349958,0,1,0.0,-10000,-1.4,7.5,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,3,-10263.899999999998,0.0,2,0.1229403018951416,9,0,0.4758935993349958,0,1,0.0,-10000,-1.4,7.5,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,4,-10263.899999999998,0.0,2,0.1540231704711914,9,0,0.4758935993349958,0,1,0.0,-10000,-1.4,7.5,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Proactive-U,5,-10263.899999999998,0.0,2,0.1469359397888183,9,0,0.4758935993349958,0,1,0.0,-10000,-1.4,7.5,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,1,-5271.6,0.0,1,0.1384189128875732,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,2,-5271.6,0.0,1,0.1378190517425537,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,3,-5271.6,0.0,1,0.1460742950439453,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,4,-5271.6,0.0,1,0.1469087600708007,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,DQN Reactive,5,-5271.6,0.0,1,0.1442158222198486,9,0,0.5324675324675324,0,1,0.0,-5000,-1.6,0.0,-270.0,0,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,Greedy Reactive,1,29855.6,0.0,0,0.2999508380889892,4,1,0.624163715072806,1,1,0.0,0,-0.6000000000000001,16.150000000000002,-60.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,Greedy Reactive,2,29855.6,0.0,0,0.1571102142333984,4,1,0.624163715072806,1,1,0.0,0,-0.6000000000000001,16.150000000000002,-60.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,Greedy Reactive,3,29855.6,0.0,0,0.1634116172790527,4,1,0.624163715072806,1,1,0.0,0,-0.6000000000000001,16.150000000000002,-60.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,Greedy Reactive,4,29855.6,0.0,0,0.1498751640319824,4,1,0.624163715072806,1,1,0.0,0,-0.6000000000000001,16.150000000000002,-60.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00001,Greedy Reactive,5,29855.6,0.0,0,0.151930570602417,4,1,0.624163715072806,1,1,0.0,0,-0.6000000000000001,16.150000000000002,-60.0,30000,0.4683501683501684,8,1586,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-N,1,-36267.3,615.0,1,0.1635024547576904,11,0,0.4405412438199323,3,1,-30750.0,-5000,0.0,178.45000000000005,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-N,2,-36267.3,615.0,1,0.1519181728363037,11,0,0.4405412438199323,3,1,-30750.0,-5000,0.0,178.45000000000005,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-N,3,-36267.3,615.0,1,0.2143483161926269,11,0,0.4405412438199323,3,1,-30750.0,-5000,0.0,178.45000000000005,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-N,4,-36267.3,615.0,1,0.1496286392211914,11,0,0.4405412438199323,3,1,-30750.0,-5000,0.0,178.45000000000005,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-N,5,-36267.3,615.0,1,0.1613185405731201,11,0,0.4405412438199323,3,1,-30750.0,-5000,0.0,178.45000000000005,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-U,1,-7920.4,49.0,1,0.1320006847381591,11,0,0.5532679738562092,1,1,-2450.0,-5000,0.0,25.65,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-U,2,-7920.4,49.0,1,0.1452040672302246,11,0,0.5532679738562092,1,1,-2450.0,-5000,0.0,25.65,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-U,3,-7920.4,49.0,1,0.1734683513641357,11,0,0.5532679738562092,1,1,-2450.0,-5000,0.0,25.65,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-U,4,-7920.4,49.0,1,0.1658668518066406,11,0,0.5532679738562092,1,1,-2450.0,-5000,0.0,25.65,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Proactive-U,5,-7920.4,49.0,1,0.1693627834320068,11,0,0.5532679738562092,1,1,-2450.0,-5000,0.0,25.65,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Reactive,1,-5398.0,0.0,1,0.1707291603088379,11,0,0.5532679738562091,0,1,0.0,-5000,-2.0,0.0,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Reactive,2,-5398.0,0.0,1,0.1640412807464599,11,0,0.5532679738562091,0,1,0.0,-5000,-2.0,0.0,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Reactive,3,-5398.0,0.0,1,0.1555519104003906,11,0,0.5532679738562091,0,1,0.0,-5000,-2.0,0.0,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
deterministic_Scenario_00002,DQN Reactive,4,-5398.0,0.0,1,0.1610605716705322,11,0,0.5532679738562091,0,1,0.0,-5000,-2.0,0.0,-396.0,0,0.42634920634920637,9,1881,1,0,0.3333333333333333,0.0,3,Deterministic
