Scenario,Model,Seed,TotalReward,TotalDelays,TotalCancelledFlights,ScenarioTime,ScenarioSteps,ScenarioResolvedConflicts,SolutionSlack,TailSwaps,ActualDisruptedFlights,Reward_delay_penalty_total,Reward_cancel_penalty,Reward_inaction_penalty,Reward_proactive_bonus,Reward_time_penalty,Reward_final_conflict_resolution_reward
deterministic_Scenario_00001,greedy_reactive,3,-5169.0,0.0,1,0.45331764221191406,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
deterministic_Scenario_00001,greedy_reactive,4,-5169.0,0.0,1,0.4389326572418213,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
deterministic_Scenario_00001,greedy_reactive,5,-5169.0,0.0,1,0.45623040199279785,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
deterministic_Scenario_00002,myopic,1,-3453.7000000000007,561.0,1,0.04315638542175293,7,1,0.3236957080442046,3,2,-28050.0,-5000,0.0,64.35000000000001,-168.0,30000
deterministic_Scenario_00002,myopic,2,-3453.7000000000007,561.0,1,0.04795336723327637,7,1,0.3236957080442046,3,2,-28050.0,-5000,0.0,64.35000000000001,-168.0,30000
deterministic_Scenario_00002,myopic,3,-3453.7000000000007,561.0,1,0.05231189727783203,7,1,0.3236957080442046,3,2,-28050.0,-5000,0.0,64.35000000000001,-168.0,30000
deterministic_Scenario_00002,myopic,4,-3453.7000000000007,561.0,1,0.04723048210144043,7,1,0.3236957080442046,3,2,-28050.0,-5000,0.0,64.35000000000001,-168.0,30000
deterministic_Scenario_00002,myopic,5,-3453.7000000000007,561.0,1,0.03957533836364746,7,1,0.3236957080442046,3,2,-28050.0,-5000,0.0,64.35000000000001,-168.0,30000
deterministic_Scenario_00002,proactive,1,-25196.5,0.0,5,0.043749332427978516,9,0,0.5617690058479532,0,2,0.0,-25000,0.0,73.5,-270.0,0
deterministic_Scenario_00002,proactive,2,-25196.5,0.0,5,0.04997968673706055,9,0,0.5617690058479532,0,2,0.0,-25000,0.0,73.5,-270.0,0
deterministic_Scenario_00002,proactive,3,-25196.5,0.0,5,0.05044817924499512,9,0,0.5617690058479532,0,2,0.0,-25000,0.0,73.5,-270.0,0
deterministic_Scenario_00002,proactive,4,-25196.5,0.0,5,0.04955291748046875,9,0,0.5617690058479532,0,2,0.0,-25000,0.0,73.5,-270.0,0
deterministic_Scenario_00002,proactive,5,-25196.5,0.0,5,0.049976348876953125,9,0,0.5617690058479532,0,2,0.0,-25000,0.0,73.5,-270.0,0
deterministic_Scenario_00002,reactive,1,19432.8,107.0,1,0.03946352005004883,6,1,0.6155161691542288,1,2,-5350.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,reactive,2,19432.8,107.0,1,0.044611215591430664,6,1,0.6155161691542288,1,2,-5350.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,reactive,3,19432.8,107.0,1,0.049309492111206055,6,1,0.6155161691542288,1,2,-5350.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,reactive,4,19432.8,107.0,1,0.037139892578125,6,1,0.6155161691542288,1,2,-5350.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,reactive,5,19432.8,107.0,1,0.0446774959564209,6,1,0.6155161691542288,1,2,-5350.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,myopic,1,-25282.0,2.0,5,0.05393862724304199,9,0,0.5554339897884756,1,2,-100.0,-25000,0.0,187.7,-270.0,0
deterministic_Scenario_00002,myopic,2,-25282.0,2.0,5,0.04651999473571777,9,0,0.5554339897884756,1,2,-100.0,-25000,0.0,187.7,-270.0,0
deterministic_Scenario_00002,myopic,3,-25282.0,2.0,5,0.0684804916381836,9,0,0.5554339897884756,1,2,-100.0,-25000,0.0,187.7,-270.0,0
deterministic_Scenario_00002,myopic,4,-25282.0,2.0,5,0.11035895347595215,9,0,0.5554339897884756,1,2,-100.0,-25000,0.0,187.7,-270.0,0
deterministic_Scenario_00002,myopic,5,-25282.0,2.0,5,0.0546112060546875,9,0,0.5554339897884756,1,2,-100.0,-25000,0.0,187.7,-270.0,0
deterministic_Scenario_00002,proactive,1,-25080.0,0.0,5,0.04999589920043945,6,0,0.5378955114054452,1,2,0.0,-25000,0.0,146.0,-126.0,0
deterministic_Scenario_00002,proactive,2,-25080.0,0.0,5,0.04949617385864258,6,0,0.5378955114054452,1,2,0.0,-25000,0.0,146.0,-126.0,0
deterministic_Scenario_00002,proactive,3,-25080.0,0.0,5,0.04983234405517578,6,0,0.5378955114054452,1,2,0.0,-25000,0.0,146.0,-126.0,0
deterministic_Scenario_00002,proactive,4,-25080.0,0.0,5,0.049948692321777344,6,0,0.5378955114054452,1,2,0.0,-25000,0.0,146.0,-126.0,0
deterministic_Scenario_00002,proactive,5,-25080.0,0.0,5,0.049989938735961914,6,0,0.5378955114054452,1,2,0.0,-25000,0.0,146.0,-126.0,0
deterministic_Scenario_00002,reactive,1,-15139.400000000001,0.0,3,0.07069182395935059,7,0,0.6296909492273731,0,2,0.0,-15000,-1.0,29.55,-168.0,0
deterministic_Scenario_00002,reactive,2,-15139.400000000001,0.0,3,0.05632162094116211,7,0,0.6296909492273731,0,2,0.0,-15000,-1.0,29.55,-168.0,0
deterministic_Scenario_00002,reactive,3,-15139.400000000001,0.0,3,0.05444955825805664,7,0,0.6296909492273731,0,2,0.0,-15000,-1.0,29.55,-168.0,0
deterministic_Scenario_00002,reactive,4,-15139.400000000001,0.0,3,0.052750587463378906,7,0,0.6296909492273731,0,2,0.0,-15000,-1.0,29.55,-168.0,0
deterministic_Scenario_00002,reactive,5,-15139.400000000001,0.0,3,0.04501509666442871,7,0,0.6296909492273731,0,2,0.0,-15000,-1.0,29.55,-168.0,0
deterministic_Scenario_00002,greedy_reactive,1,24782.8,0.0,1,0.22936344146728516,6,1,0.7235014619883041,1,2,0.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,greedy_reactive,2,24782.8,0.0,1,0.18904972076416016,6,1,0.7235014619883041,1,2,0.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,greedy_reactive,3,24782.8,0.0,1,0.18757128715515137,6,1,0.7235014619883041,1,2,0.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,greedy_reactive,4,24782.8,0.0,1,0.19045209884643555,6,1,0.7235014619883041,1,2,0.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00002,greedy_reactive,5,24782.8,0.0,1,0.19618916511535645,6,1,0.7235014619883041,1,2,0.0,-5000,-1.0,9.8,-126.0,30000
deterministic_Scenario_00003,myopic,1,-42177.99999999999,1136.0,3,0.0409998893737793,7,1,0.44967723004694843,3,3,-56800.0,-15000,0.0,90.00000000000001,-168.0,30000
deterministic_Scenario_00003,myopic,2,-42177.99999999999,1136.0,3,0.032903194427490234,7,1,0.44967723004694843,3,3,-56800.0,-15000,0.0,90.00000000000001,-168.0,30000
deterministic_Scenario_00003,myopic,3,-42177.99999999999,1136.0,3,0.049286603927612305,7,1,0.44967723004694843,3,3,-56800.0,-15000,0.0,90.00000000000001,-168.0,30000
deterministic_Scenario_00003,myopic,4,-42177.99999999999,1136.0,3,0.049918413162231445,7,1,0.44967723004694843,3,3,-56800.0,-15000,0.0,90.00000000000001,-168.0,30000
deterministic_Scenario_00003,myopic,5,-42177.99999999999,1136.0,3,0.04996776580810547,7,1,0.44967723004694843,3,3,-56800.0,-15000,0.0,90.00000000000001,-168.0,30000
deterministic_Scenario_00003,proactive,1,-7926.599999999995,57.0,7,0.059183597564697266,7,1,0.39602272727272725,0,3,-2850.0,-35000,0.0,91.4,-168.0,30000
deterministic_Scenario_00003,proactive,2,-7926.599999999995,57.0,7,0.04291844367980957,7,1,0.39602272727272725,0,3,-2850.0,-35000,0.0,91.4,-168.0,30000
deterministic_Scenario_00003,proactive,3,-7926.599999999995,57.0,7,0.03516125679016113,7,1,0.39602272727272725,0,3,-2850.0,-35000,0.0,91.4,-168.0,30000
deterministic_Scenario_00003,proactive,4,-7926.599999999995,57.0,7,0.04581117630004883,7,1,0.39602272727272725,0,3,-2850.0,-35000,0.0,91.4,-168.0,30000
deterministic_Scenario_00003,proactive,5,-7926.599999999995,57.0,7,0.03934288024902344,7,1,0.39602272727272725,0,3,-2850.0,-35000,0.0,91.4,-168.0,30000
deterministic_Scenario_00003,reactive,1,-24037.1,171.0,3,0.048728227615356445,12,0,0.4955839057899902,1,3,-8550.0,-15000,-0.4,81.30000000000001,-468.0,0
deterministic_Scenario_00003,reactive,2,-24037.1,171.0,3,0.0676729679107666,12,0,0.4955839057899902,1,3,-8550.0,-15000,-0.4,81.30000000000001,-468.0,0
deterministic_Scenario_00003,reactive,3,-24037.1,171.0,3,0.048799991607666016,12,0,0.4955839057899902,1,3,-8550.0,-15000,-0.4,81.30000000000001,-468.0,0
deterministic_Scenario_00003,reactive,4,-24037.1,171.0,3,0.0495755672454834,12,0,0.4955839057899902,1,3,-8550.0,-15000,-0.4,81.30000000000001,-468.0,0
deterministic_Scenario_00003,reactive,5,-24037.1,171.0,3,0.06918025016784668,12,0,0.4955839057899902,1,3,-8550.0,-15000,-0.4,81.30000000000001,-468.0,0
deterministic_Scenario_00003,myopic,1,-35432.5,0.0,7,0.059426307678222656,12,0,0.4389149102263857,0,3,0.0,-35000,0.0,35.400000000000006,-468.0,0
deterministic_Scenario_00003,myopic,2,-35432.5,0.0,7,0.0365450382232666,12,0,0.4389149102263857,0,3,0.0,-35000,0.0,35.400000000000006,-468.0,0
deterministic_Scenario_00003,myopic,3,-35432.5,0.0,7,0.06978559494018555,12,0,0.4389149102263857,0,3,0.0,-35000,0.0,35.400000000000006,-468.0,0
deterministic_Scenario_00003,myopic,4,-35432.5,0.0,7,0.03022003173828125,12,0,0.4389149102263857,0,3,0.0,-35000,0.0,35.400000000000006,-468.0,0
deterministic_Scenario_00003,myopic,5,-35432.5,0.0,7,0.06561136245727539,12,0,0.4389149102263857,0,3,0.0,-35000,0.0,35.400000000000006,-468.0,0
deterministic_Scenario_00003,proactive,1,-189.59999999999854,0.0,6,0.034375667572021484,7,1,0.5160213618157543,1,3,0.0,-30000,0.0,78.4,-168.0,30000
deterministic_Scenario_00003,proactive,2,-189.59999999999854,0.0,6,0.05038952827453613,7,1,0.5160213618157543,1,3,0.0,-30000,0.0,78.4,-168.0,30000
deterministic_Scenario_00003,proactive,3,-189.59999999999854,0.0,6,0.04448652267456055,7,1,0.5160213618157543,1,3,0.0,-30000,0.0,78.4,-168.0,30000
deterministic_Scenario_00003,proactive,4,-189.59999999999854,0.0,6,0.03394913673400879,7,1,0.5160213618157543,1,3,0.0,-30000,0.0,78.4,-168.0,30000
deterministic_Scenario_00003,proactive,5,-189.59999999999854,0.0,6,0.06301045417785645,7,1,0.5160213618157543,1,3,0.0,-30000,0.0,78.4,-168.0,30000
deterministic_Scenario_00003,reactive,1,-30438.800000000003,0.0,6,0.08593392372131348,12,0,0.46885813148788924,0,3,0.0,-30000,-1.5999999999999999,30.800000000000004,-468.0,0
deterministic_Scenario_00003,reactive,2,-30438.800000000003,0.0,6,0.0945594310760498,12,0,0.46885813148788924,0,3,0.0,-30000,-1.5999999999999999,30.800000000000004,-468.0,0
deterministic_Scenario_00003,reactive,3,-30438.800000000003,0.0,6,0.07943224906921387,12,0,0.46885813148788924,0,3,0.0,-30000,-1.5999999999999999,30.800000000000004,-468.0,0
deterministic_Scenario_00003,reactive,4,-30438.800000000003,0.0,6,0.1154031753540039,12,0,0.46885813148788924,0,3,0.0,-30000,-1.5999999999999999,30.800000000000004,-468.0,0
deterministic_Scenario_00003,reactive,5,-30438.800000000003,0.0,6,0.08133149147033691,12,0,0.46885813148788924,0,3,0.0,-30000,-1.5999999999999999,30.800000000000004,-468.0,0
deterministic_Scenario_00003,greedy_reactive,1,54647.4,0.0,1,1.3299283981323242,7,2,0.640895410082769,2,3,0.0,-5000,-0.4,15.8,-168.0,60000
deterministic_Scenario_00003,greedy_reactive,2,54647.4,0.0,1,0.9575483798980713,7,2,0.640895410082769,2,3,0.0,-5000,-0.4,15.8,-168.0,60000
deterministic_Scenario_00003,greedy_reactive,3,54647.4,0.0,1,0.9494426250457764,7,2,0.640895410082769,2,3,0.0,-5000,-0.4,15.8,-168.0,60000
deterministic_Scenario_00003,greedy_reactive,4,54647.4,0.0,1,0.9764020442962646,7,2,0.640895410082769,2,3,0.0,-5000,-0.4,15.8,-168.0,60000
deterministic_Scenario_00003,greedy_reactive,5,54647.4,0.0,1,1.1111719608306885,7,2,0.640895410082769,2,3,0.0,-5000,-0.4,15.8,-168.0,60000
deterministic_Scenario_00004,myopic,1,-16900.8,127.0,2,0.0514068603515625,11,0,0.5409302325581397,2,2,-6350.0,-10000,0.0,45.25000000000001,-396.0,0
