Model,Mean_Reward,Std_Reward,Mean_Runtime,Std_Runtime,Mean_Steps,Std_Steps,Mean_Delays,Std_Delays,Mean_CancelledFlights,Std_CancelledFlights,Mean_TailSwaps,Std_TailSwaps
Greedy Reactive,101.37,2.98,0.09,0.01,6.12,0.04,37.17,1.32,1.14,0.04,0.47,0.03
DQN Reactive,50.74,1.49,0.07,0.0,7.65,0.07,31.81,1.34,1.71,0.06,0.19,0.01
DQN Proactive-N,215.21,1.88,0.07,0.0,7.1,0.04,118.63,1.74,1.95,0.02,0.36,0.0
DQN Proactive-U,298.73,2.24,0.07,0.0,6.52,0.04,192.69,0.89,1.39,0.02,0.21,0.0
